Time u
0.000000 0.246681
0.002004 0.220344
0.004008 0.200078
0.006012 0.199654
0.008016 0.222369
0.010020 0.283048
0.012024 0.319561
0.014028 0.341663
0.016032 0.351800
0.018036 0.342111
0.020040 0.333275
0.022044 0.302697
0.024048 0.289627
0.026052 0.339788
0.028056 0.310877
0.030060 0.349309
0.032064 0.365890
0.034068 0.391976
0.036072 0.368855
0.038076 0.431681
0.040080 0.410083
0.042084 0.436353
0.044088 0.466929
0.046092 0.514319
0.048096 0.543840
0.050100 0.587435
0.052104 0.619404
0.054108 0.578030
0.056112 0.584823
0.058116 0.622095
0.060120 0.580839
0.062124 0.559795
0.064128 0.546684
0.066132 0.565778
0.068136 0.542622
0.070140 0.565098
0.072144 0.592228
0.074148 0.613030
0.076152 0.628506
0.078156 0.610321
0.080160 0.579348
0.082164 0.647150
0.084168 0.662428
0.086172 0.710831
0.088176 0.669600
0.090180 0.615035
0.092184 0.636422
0.094188 0.606810
0.096192 0.587830
0.098196 0.574346
0.100200 0.543198
0.102204 0.517800
0.104208 0.509503
0.106212 0.533031
0.108216 0.482631
0.110220 0.514753
0.112224 0.516693
0.114228 0.526973
0.116232 0.493279
0.118236 0.453693
0.120240 0.410802
0.122244 0.364465
0.124248 0.408969
0.126253 0.396197
0.128257 0.394700
0.130261 0.413536
0.132265 0.406489
0.134269 0.415184
0.136273 0.452899
0.138277 0.476767
0.140281 0.505476
0.142285 0.531928
0.144289 0.534379
0.146293 0.526541
0.148297 0.555206
0.150301 0.601202
0.152305 0.631625
0.154309 0.611008
0.156313 0.582704
0.158317 0.624033
0.160321 0.611384
0.162325 0.623058
0.164329 0.649055
0.166333 0.638437
0.168337 0.677840
0.170341 0.716582
0.172345 0.725530
0.174349 0.791646
0.176353 0.812872
0.178357 0.849466
0.180361 0.898714
0.182365 0.921459
0.184369 0.917113
0.186373 0.923074
0.188377 0.856578
0.190381 0.858560
0.192385 0.881002
0.194389 0.857752
0.196393 0.837191
0.198397 0.860931
0.200401 0.861188
0.202405 0.891088
0.204409 0.898295
0.206413 0.904000
0.208417 0.842384
0.210421 0.820578
0.212425 0.850072
0.214429 0.886510
0.216433 0.902697
0.218437 0.889955
0.220441 0.835901
0.222445 0.849279
0.224449 0.850666
0.226453 0.889793
0.228457 0.854185
0.230461 0.835147
0.232465 0.808597
0.234469 0.786078
0.236473 0.837466
0.238477 0.804807
0.240481 0.803203
0.242485 0.815752
0.244489 0.824173
0.246493 0.792867
0.248497 0.741032
0.250501 0.712115
0.252505 0.663347
0.254509 0.674149
0.256513 0.709418
0.258517 0.716099
0.260521 0.739745
0.262525 0.763839
0.264529 0.769709
0.266533 0.802910
0.268537 0.821338
0.270541 0.820312
0.272545 0.813889
0.274549 0.829154
0.276553 0.831683
0.278557 0.828547
0.280561 0.833167
0.282565 0.812778
0.284569 0.830144
0.286573 0.815617
0.288577 0.776936
0.290581 0.734742
0.292585 0.743181
0.294589 0.728141
0.296593 0.746763
0.298597 0.732499
