Time p_x p_y 
0.000000 -0.226720 0.097512 
0.002004 -0.226671 0.117086 
0.004008 -0.226612 0.129739 
0.006012 -0.226548 0.142113 
0.008016 -0.226477 0.195813 
0.010020 -0.226379 0.206067 
0.012024 -0.226276 0.220734 
0.014028 -0.226165 0.207023 
0.016032 -0.226062 0.206624 
0.018036 -0.225958 0.183431 
0.020040 -0.225867 0.195675 
0.022044 -0.225769 0.180736 
0.024048 -0.225678 0.211294 
0.026052 -0.225573 0.233198 
0.028056 -0.225456 0.231715 
0.030060 -0.225340 0.223712 
0.032064 -0.225229 0.192986 
0.034068 -0.225132 0.212039 
0.036072 -0.225026 0.231244 
0.038076 -0.224910 0.229019 
0.040080 -0.224796 0.276070 
0.042084 -0.224658 0.289322 
0.044088 -0.224513 0.302738 
0.046092 -0.224362 0.303200 
0.048096 -0.224210 0.320332 
0.050100 -0.224050 0.303654 
0.052104 -0.223898 0.301446 
0.054108 -0.223748 0.279139 
0.056112 -0.223608 0.251573 
0.058116 -0.223482 0.210468 
0.060120 -0.223377 0.246036 
0.062124 -0.223254 0.200594 
0.064128 -0.223154 0.253286 
0.066132 -0.223027 0.270357 
0.068136 -0.222892 0.223046 
0.070140 -0.222780 0.221036 
0.072144 -0.222670 0.240834 
0.074148 -0.222549 0.225439 
0.076152 -0.222437 0.243241 
0.078156 -0.222315 0.220032 
0.080160 -0.222205 0.222241 
0.082164 -0.222094 0.256325 
0.084168 -0.221966 0.264680 
0.086172 -0.221833 0.292366 
0.088176 -0.221687 0.293791 
0.090180 -0.221540 0.278538 
0.092184 -0.221401 0.289992 
0.094188 -0.221256 0.291155 
0.096192 -0.221110 0.338748 
0.098196 -0.220941 0.320348 
0.100200 -0.220781 0.322502 
0.102204 -0.220620 0.289756 
0.104208 -0.220475 0.326101 
0.106212 -0.220312 0.340807 
0.108216 -0.220141 0.372421 
0.110220 -0.219955 0.366663 
0.112224 -0.219772 0.376644 
0.114228 -0.219583 0.405645 
0.116232 -0.219381 0.398968 
0.118236 -0.219181 0.411583 
0.120240 -0.218975 0.380029 
0.122244 -0.218785 0.373376 
0.124248 -0.218599 0.370609 
0.126253 -0.218413 0.354865 
0.128257 -0.218236 0.319523 
0.130261 -0.218076 0.325900 
0.132265 -0.217913 0.331213 
0.134269 -0.217748 0.345070 
0.136273 -0.217575 0.366656 
0.138277 -0.217392 0.347016 
0.140281 -0.217218 0.352809 
0.142285 -0.217042 0.355977 
0.144289 -0.216864 0.382678 
0.146293 -0.216672 0.403261 
0.148297 -0.216471 0.385626 
0.150301 -0.216278 0.344943 
0.152305 -0.216106 0.326723 
0.154309 -0.215942 0.348781 
0.156313 -0.215768 0.348547 
0.158317 -0.215594 0.343923 
0.160321 -0.215422 0.328278 
0.162325 -0.215257 0.314248 
0.164329 -0.215100 0.324561 
0.166333 -0.214938 0.341462 
0.168337 -0.214767 0.352724 
0.170341 -0.214591 0.356680 
0.172345 -0.214413 0.382749 
0.174349 -0.214221 0.378627 
0.176353 -0.214032 0.378178 
0.178357 -0.213843 0.356191 
0.180361 -0.213665 0.360608 
0.182365 -0.213484 0.357238 
0.184369 -0.213306 0.334364 
0.186373 -0.213139 0.346726 
0.188377 -0.212965 0.352702 
0.190381 -0.212789 0.398733 
0.192385 -0.212590 0.410193 
0.194389 -0.212384 0.421671 
0.196393 -0.212174 0.417619 
0.198397 -0.211965 0.393088 
0.200401 -0.211768 0.366472 
0.202405 -0.211585 0.373967 
0.204409 -0.211398 0.408188 
0.206413 -0.211194 0.416539 
