Iteration P0_1 P0_2 P0_3 
1 0.842361 -1.825543 -0.700649 
2 3.073099 0.360814 0.593751 
3 3.276878 1.142795 1.149687 
4 3.143816 1.434047 1.412785 
5 3.036561 1.544212 1.536504 
6 2.984503 1.589276 1.593953 
7 2.964848 1.610090 1.620853 
8 2.960446 1.621190 1.633896 
9 2.962568 1.628086 1.640675 
10 2.967218 1.633007 1.644592 
11 2.972648 1.636901 1.647166 
12 2.978117 1.640192 1.649071 
13 2.983329 1.643076 1.650614 
14 2.988178 1.645654 1.651935 
15 2.992642 1.647981 1.653100 
16 2.996731 1.650092 1.654146 
17 3.000468 1.652012 1.655091 
18 3.003880 1.653761 1.655950 
19 3.006995 1.655355 1.656731 
20 3.009838 1.656809 1.657444 
21 3.012434 1.658136 1.658093 
22 3.014803 1.659346 1.658685 
23 3.016966 1.660451 1.659226 
24 3.018941 1.661460 1.659720 
25 3.020746 1.662381 1.660170 
26 3.022393 1.663222 1.660582 
27 3.023899 1.663991 1.660957 
28 3.025274 1.664693 1.661300 
29 3.026531 1.665334 1.661614 
30 3.027679 1.665920 1.661900 
31 3.028728 1.666455 1.662162 
32 3.029687 1.666944 1.662401 
33 3.030564 1.667391 1.662620 
34 3.031365 1.667800 1.662819 
35 3.032097 1.668173 1.663002 
36 3.032767 1.668515 1.663169 
37 3.033379 1.668827 1.663321 
38 3.033938 1.669112 1.663460 
39 3.034450 1.669373 1.663588 
40 3.034917 1.669611 1.663704 
41 3.035345 1.669829 1.663811 
42 3.035736 1.670029 1.663908 
43 3.036093 1.670211 1.663997 
44 3.036420 1.670377 1.664078 
45 3.036719 1.670530 1.664153 
46 3.036992 1.670669 1.664221 
47 3.037242 1.670797 1.664283 
48 3.037471 1.670913 1.664340 
49 3.037680 1.671020 1.664392 
50 3.037871 1.671117 1.664440 
51 3.038045 1.671206 1.664483 
52 3.038205 1.671287 1.664523 
53 3.038351 1.671362 1.664559 
54 3.038485 1.671430 1.664593 
55 3.038607 1.671492 1.664623 
56 3.038719 1.671549 1.664651 
57 3.038821 1.671601 1.664676 
58 3.038915 1.671649 1.664700 
59 3.039000 1.671693 1.664721 
60 3.039079 1.671733 1.664740 
61 3.039150 1.671769 1.664758 
62 3.039216 1.671802 1.664774 
63 3.039275 1.671833 1.664789 
64 3.039330 1.671861 1.664803 
65 3.039380 1.671886 1.664815 
66 3.039426 1.671910 1.664827 
67 3.039468 1.671931 1.664837 
68 3.039506 1.671950 1.664847 
69 3.039541 1.671968 1.664855 
70 3.039573 1.671985 1.664863 
71 3.039602 1.671999 1.664871 
72 3.039629 1.672013 1.664877 
73 3.039654 1.672026 1.664883 
74 3.039676 1.672037 1.664889 
75 3.039697 1.672047 1.664894 
76 3.039715 1.672057 1.664899 
77 3.039732 1.672066 1.664903 
78 3.039748 1.672074 1.664907 
79 3.039762 1.672081 1.664910 
80 3.039776 1.672088 1.664914 
81 3.039788 1.672094 1.664917 
82 3.039799 1.672099 1.664919 
83 3.039809 1.672105 1.664922 
84 3.039818 1.672109 1.664924 
85 3.039826 1.672114 1.664926 
86 3.039834 1.672117 1.664928 
87 3.039841 1.672121 1.664930 
88 3.039847 1.672124 1.664932 
89 3.039853 1.672127 1.664933 
90 3.039859 1.672130 1.664934 
91 3.039863 1.672133 1.664936 
92 3.039868 1.672135 1.664937 
93 3.039872 1.672137 1.664938 
94 3.039876 1.672139 1.664939 
95 3.039879 1.672141 1.664940 
96 3.039882 1.672142 1.664940 
97 3.039885 1.672144 1.664941 
98 3.039888 1.672145 1.664942 
99 3.039890 1.672146 1.664942 
100 3.039893 1.672147 1.664943 
101 3.039895 1.672148 1.664943 
102 3.039896 1.672149 1.664944 
103 3.039898 1.672150 1.664944 
104 3.039900 1.672151 1.664945 
105 3.039901 1.672152 1.664945 
106 3.039902 1.672152 1.664945 
107 3.039903 1.672153 1.664946 
