Time p_x p_y p_z
0.000000 -0.167056 0.019761 0.048566
0.002004 -0.167166 0.087890 0.048652
0.004008 -0.167282 0.156021 0.048738
0.006012 -0.167385 0.224154 0.048826
0.008016 -0.167497 0.292305 0.048913
0.010020 -0.167622 0.360442 0.048993
0.012024 -0.167756 0.428592 0.049071
0.014028 -0.167896 0.496753 0.049149
0.016032 -0.168011 0.564935 0.049251
0.018036 -0.168125 0.633127 0.049356
0.020040 -0.168256 0.701322 0.049486
0.022044 -0.168385 0.769534 0.049622
0.024048 -0.168502 0.837753 0.049755
0.026052 -0.168611 0.905985 0.049882
0.028056 -0.168699 0.974211 0.050018
0.030060 -0.168785 1.042423 0.050150
0.032064 -0.168861 1.110643 0.050286
0.034068 -0.168933 1.178847 0.050424
0.036072 -0.169011 1.247038 0.050554
0.038076 -0.169083 1.315244 0.050689
0.040080 -0.169146 1.383444 0.050851
0.042084 -0.169208 1.451648 0.051033
0.044088 -0.169279 1.519864 0.051213
0.046092 -0.169371 1.555639 0.051402
0.048096 -0.169468 1.591402 0.051604
0.050100 -0.169568 1.627170 0.051807
0.052104 -0.169646 1.662940 0.052020
0.054108 -0.169740 1.698720 0.052234
0.056112 -0.169830 1.734500 0.052448
0.058116 -0.169908 1.770284 0.052668
0.060120 -0.169976 1.806058 0.052895
0.062124 -0.170035 1.841836 0.053130
0.064128 -0.170097 1.877611 0.053353
0.066132 -0.170158 1.913388 0.053579
0.068136 -0.170215 1.949167 0.053802
0.070140 -0.170268 1.984956 0.054012
0.072144 -0.170318 2.020729 0.054205
0.074148 -0.170374 2.056502 0.054399
0.076152 -0.170422 2.092258 0.054613
0.078156 -0.170468 2.128014 0.054814
0.080160 -0.170509 2.163770 0.055025
0.082164 -0.170540 2.199518 0.055219
0.084168 -0.170582 2.235275 0.055403
0.086172 -0.170616 2.271026 0.055609
0.088176 -0.170668 2.306771 0.055831
0.090180 -0.170719 2.342508 0.056076
0.092184 -0.170767 2.378231 0.056314
0.094188 -0.170825 2.413947 0.056561
0.096192 -0.170874 2.449674 0.056827
0.098196 -0.170927 2.485388 0.057076
0.100200 -0.170971 2.521114 0.057319
0.102204 -0.170997 2.556842 0.057537
0.104208 -0.171036 2.592549 0.057753
0.106212 -0.171080 2.628245 0.057956
0.108216 -0.171143 2.663936 0.058157
0.110220 -0.171190 2.699620 0.058371
