Time v_x v_y v_z
0.000000 -0.229010 0.156128 0.063819
0.002004 -0.214783 0.239413 0.033112
0.004008 -0.195113 0.270118 0.046053
0.006012 -0.168756 0.339761 0.036597
0.008016 -0.170906 0.420018 0.009027
0.010020 -0.175513 0.492148 -0.012718
0.012024 -0.189765 0.540009 -0.013291
0.014028 -0.176449 0.645099 -0.000223
0.016032 -0.192203 0.717124 0.031637
0.018036 -0.202428 0.819599 0.001496
0.020040 -0.166828 0.877924 -0.017459
0.022044 -0.139247 0.920696 -0.053332
0.024048 -0.168163 1.001139 -0.039801
0.026052 -0.134340 1.092836 -0.045740
0.028056 -0.130272 1.161225 -0.053854
0.030060 -0.177115 1.197524 -0.095797
0.032064 -0.156221 1.237781 -0.075153
0.034068 -0.144629 1.316011 -0.062088
0.036072 -0.095554 1.434750 -0.091236
0.038076 -0.063109 1.522513 -0.083954
0.040080 -0.048221 1.617640 -0.091228
0.042084 0.003930 1.663005 -0.096112
0.044088 0.004879 1.704211 -0.083655
0.046092 -0.008892 1.747279 -0.089162
0.048096 -0.012290 1.785550 -0.118000
0.050100 -0.004586 1.799381 -0.130177
0.052104 0.010823 1.816245 -0.075462
0.054108 -0.007188 1.876374 -0.106839
0.056112 -0.014048 1.930452 -0.107549
0.058116 -0.014714 1.955837 -0.103636
0.060120 -0.038623 2.011914 -0.139322
0.062124 -0.010689 2.054956 -0.130832
0.064128 -0.019913 2.081570 -0.136971
0.066132 -0.020832 2.080640 -0.139655
0.068136 -0.001166 2.127127 -0.139757
0.070140 -0.009134 2.161941 -0.160309
0.072144 -0.014863 2.216761 -0.165490
0.074148 -0.029934 2.251697 -0.139153
0.076152 0.013240 2.303563 -0.113061
0.078156 -0.010030 2.358948 -0.121512
0.080160 -0.049171 2.373968 -0.173580
0.082164 -0.059630 2.410878 -0.168169
0.084168 -0.062145 2.444860 -0.192004
0.086172 -0.058636 2.529494 -0.203498
0.088176 0.002371 2.530529 -0.222414
0.090180 -0.008697 2.566616 -0.229170
0.092184 -0.059001 2.604828 -0.238399
0.094188 -0.050142 2.598152 -0.207810
0.096192 -0.027996 2.621046 -0.225487
0.098196 0.011196 2.644193 -0.227080
0.100200 0.022776 2.684194 -0.232400
0.102204 0.037428 2.685482 -0.224010
0.104208 0.012003 2.730570 -0.212144
0.106212 0.029780 2.749904 -0.238707
0.108216 0.050877 2.776346 -0.229210
0.110220 0.026393 2.801604 -0.236460
0.112224 -0.001354 2.841162 -0.252260
0.114228 0.000769 2.879373 -0.301954
0.116232 0.004601 2.868791 -0.280257
0.118236 0.028427 2.895437 -0.300687
0.120240 0.027020 2.937494 -0.325735
0.122244 0.029594 2.954100 -0.322165
0.124248 0.053565 2.990592 -0.317687
0.126253 0.078900 3.037324 -0.284726
0.128257 0.084719 3.045866 -0.303522
0.130261 0.101942 3.076898 -0.324105
0.132265 0.095328 3.090073 -0.307638
0.134269 0.112830 3.034238 -0.288314
0.136273 0.114628 3.057726 -0.274571
0.138277 0.092626 3.100267 -0.306148
0.140281 0.090377 3.132381 -0.307263
0.142285 0.091620 3.109756 -0.275556
0.144289 0.140987 3.072661 -0.298890
0.146293 0.134463 3.083666 -0.311885
0.148297 0.145960 3.067541 -0.296870
0.150301 0.118400 3.093047 -0.317302
0.152305 0.083610 3.058156 -0.319083
0.154309 0.110573 3.059033 -0.285281
0.156313 0.120127 3.037369 -0.258962
0.158317 0.118769 3.079532 -0.261618
0.160321 0.147782 3.102260 -0.238587
0.162325 0.137487 3.128971 -0.268805
0.164329 0.127802 3.148152 -0.304243
0.166333 0.147600 3.171069 -0.265790
0.168337 0.136498 3.188496 -0.278867
0.170341 0.174426 3.193305 -0.282210
0.172345 0.128126 3.195712 -0.306021
0.174349 0.150676 3.200854 -0.300950
0.176353 0.163973 3.236001 -0.295532
0.178357 0.161528 3.264667 -0.297446
0.180361 0.130881 3.277564 -0.311474
0.182365 0.110671 3.305433 -0.326757
0.184369 0.105875 3.328023 -0.328563
0.186373 0.134354 3.348925 -0.323397
0.188377 0.148430 3.348967 -0.349912
0.190381 0.124091 3.386234 -0.331951
0.192385 0.121965 3.388120 -0.348604
0.194389 0.148006 3.389878 -0.348596
0.196393 0.166470 3.379935 -0.348422
0.198397 0.151117 3.395084 -0.365017
0.200401 0.146984 3.365220 -0.362387
0.202405 0.132699 3.374884 -0.336161
0.204409 0.133199 3.371830 -0.362365
0.206413 0.146555 3.390212 -0.368206
0.208417 0.137015 3.381629 -0.402885
0.210421 0.139313 3.394520 -0.385672
0.212425 0.142276 3.371987 -0.359980
0.214429 0.155509 3.407068 -0.353892
0.216433 0.191618 3.444532 -0.363157
0.218437 0.173640 3.442787 -0.323074
0.220441 0.117797 3.481257 -0.343198
0.222445 0.121733 3.478618 -0.348491
0.224449 0.110071 3.436617 -0.328741
0.226453 0.160062 3.423030 -0.382141
0.228457 0.146928 3.452081 -0.385019
0.230461 0.170190 3.466981 -0.371621
0.232465 0.128353 3.448130 -0.362099
0.234469 0.141603 3.480640 -0.395549
0.236473 0.121953 3.493638 -0.398650
0.238477 0.127692 3.470490 -0.385955
0.240481 0.127831 3.504022 -0.367932
0.242485 0.101098 3.521356 -0.362871
0.244489 0.115616 3.536470 -0.356572
0.246493 0.130823 3.562950 -0.354340
0.248497 0.119981 3.529011 -0.366497
0.250501 0.154986 3.537089 -0.378164
0.252505 0.158035 3.557933 -0.340672
0.254509 0.170027 3.530216 -0.341355
0.256513 0.185004 3.510848 -0.340089
0.258517 0.204296 3.534869 -0.374515
0.260521 0.247527 3.526277 -0.364967
0.262525 0.252404 3.550535 -0.350726
0.264529 0.267054 3.597050 -0.349461
0.266533 0.260044 3.605698 -0.367444
0.268537 0.271563 3.606101 -0.312920
0.270541 0.262990 3.617059 -0.295500
0.272545 0.235331 3.630082 -0.311455
0.274549 0.242804 3.665676 -0.329806
0.276553 0.243970 3.678043 -0.344545
0.278557 0.214987 3.706324 -0.321038
0.280561 0.230069 3.744336 -0.320299
0.282565 0.255478 3.742942 -0.328045
0.284569 0.265887 3.765210 -0.341210
0.286573 0.309501 3.784983 -0.329837
0.288577 0.289843 3.804865 -0.342207
0.290581 0.297900 3.862777 -0.318906
0.292585 0.302702 3.880118 -0.331807
0.294589 0.340567 3.919173 -0.334964
0.296593 0.355422 3.904264 -0.361294
0.298597 0.352748 3.888891 -0.368493
0.300601 0.324205 3.891618 -0.372443
0.302605 0.316993 3.908202 -0.395517
0.304609 0.309074 3.902663 -0.418141
0.306613 0.295245 3.936113 -0.415166
0.308617 0.299880 3.927968 -0.360505
0.310621 0.272331 3.974366 -0.320322
0.312625 0.265401 3.994654 -0.351501
0.314629 0.238752 4.017426 -0.369541
0.316633 0.202962 4.073738 -0.351366
0.318637 0.159154 4.057552 -0.325700
0.320641 0.168572 4.092256 -0.344858
0.322645 0.183909 4.153365 -0.398092
0.324649 0.204653 4.174690 -0.426648
0.326653 0.237238 4.200447 -0.434006
0.328657 0.252272 4.216066 -0.392345
0.330661 0.279521 4.226434 -0.354023
0.332665 0.308111 4.280238 -0.407817
0.334669 0.262996 4.286950 -0.465006
0.336673 0.248962 4.295319 -0.461030
0.338677 0.235789 4.319551 -0.472919
0.340681 0.244544 4.349390 -0.477231
0.342685 0.214996 4.326674 -0.481838
0.344689 0.185564 4.350362 -0.457054
0.346693 0.199017 4.370868 -0.467369
0.348697 0.193720 4.371262 -0.461175
0.350701 0.186108 4.391739 -0.447701
0.352705 0.188964 4.380489 -0.424755
0.354709 0.174936 4.381891 -0.434398
0.356713 0.134954 4.382514 -0.440905
0.358717 0.125969 4.398324 -0.486395
0.360721 0.172536 4.439556 -0.466526
0.362725 0.179101 4.435392 -0.477478
0.364729 0.208889 4.440584 -0.459914
0.366733 0.201132 4.486510 -0.458187
0.368737 0.190813 4.504971 -0.406005
0.370741 0.177084 4.506259 -0.433547
0.372745 0.197533 4.561152 -0.438824
0.374749 0.177102 4.580523 -0.439753
0.376754 0.170309 4.598003 -0.454093
0.378758 0.188457 4.599036 -0.455948
0.380762 0.208214 4.602181 -0.465270
0.382766 0.223172 4.624116 -0.498205
0.384770 0.205716 4.633484 -0.553110
0.386774 0.210696 4.657979 -0.558223
0.388778 0.169442 4.658216 -0.585920
0.390782 0.167954 4.637683 -0.552146
0.392786 0.182270 4.644250 -0.550644
0.394790 0.238081 4.676112 -0.549146
0.396794 0.247202 4.680843 -0.540917
0.398798 0.261927 4.686520 -0.552876
0.400802 0.260578 4.699016 -0.543478
0.402806 0.219825 4.689867 -0.556603
0.404810 0.223645 4.642059 -0.610954
0.406814 0.220845 4.633239 -0.616550
0.408818 0.222196 4.637521 -0.610088
0.410822 0.267466 4.675839 -0.603730
0.412826 0.277571 4.702803 -0.591715
0.414830 0.291868 4.665444 -0.573271
0.416834 0.310580 4.697719 -0.564331
0.418838 0.307716 4.721875 -0.555872
0.420842 0.319996 4.735023 -0.539779
0.422846 0.327293 4.700359 -0.572667
0.424850 0.316823 4.711052 -0.571121
0.426854 0.298962 4.752061 -0.560208
0.428858 0.326462 4.768119 -0.540094
0.430862 0.332031 4.770014 -0.532892
0.432866 0.359615 4.805631 -0.548286
0.434870 0.357003 4.777260 -0.572199
0.436874 0.352782 4.840974 -0.583734
0.438878 0.338530 4.854605 -0.586315
0.440882 0.373586 4.828870 -0.594735
0.442886 0.367908 4.855141 -0.603893
0.444890 0.371511 4.846370 -0.621561
0.446894 0.411761 4.838078 -0.580152
0.448898 0.445861 4.905023 -0.586667
0.450902 0.437908 4.939549 -0.558906
0.452906 0.492392 4.998241 -0.545478
0.454910 0.520503 5.025500 -0.567930
0.456914 0.543524 5.061851 -0.570477
0.458918 0.509946 5.071078 -0.575947
0.460922 0.487172 5.077090 -0.593548
0.462926 0.456401 5.070126 -0.625377
0.464930 0.435316 5.100746 -0.658390
0.466934 0.390574 5.140692 -0.640064
0.468938 0.351751 5.146557 -0.620402
0.470942 0.354601 5.154412 -0.626732
0.472946 0.366248 5.139154 -0.647250
0.474950 0.356971 5.153405 -0.628353
0.476954 0.426827 5.190366 -0.618402
0.478958 0.451969 5.189261 -0.649792
0.480962 0.435014 5.228363 -0.654722
