Time u_x u_y u_z
0.000000 -0.092882 -0.179129 0.026231
0.002004 -0.097026 -0.177153 0.041751
0.004008 -0.108022 -0.210284 0.021352
0.006012 -0.102582 -0.198671 0.076524
0.008016 -0.033114 -0.208130 0.075191
0.010020 -0.050014 -0.160688 0.080360
0.012024 -0.115413 -0.157176 0.107454
0.014028 -0.132658 -0.181000 0.083091
0.016032 -0.135336 -0.187733 0.067935
0.018036 -0.107990 -0.190306 0.048922
0.020040 -0.136481 -0.234734 0.028442
0.022044 0.004457 -0.214682 0.022852
0.024048 -0.005222 -0.157503 0.023166
0.026052 0.015231 -0.183400 0.017207
0.028056 0.002041 -0.222641 0.015156
0.030060 0.004849 -0.200416 0.011687
0.032064 -0.037308 -0.176064 0.057218
0.034068 -0.116204 -0.242707 0.070711
0.036072 -0.206344 -0.203915 0.114194
0.038076 -0.184861 -0.187125 0.070815
0.040080 -0.174746 -0.225380 0.004477
0.042084 -0.177245 -0.231293 -0.045259
0.044088 -0.133444 -0.266541 -0.049551
0.046092 -0.140965 -0.292673 -0.059308
0.048096 -0.084810 -0.334057 -0.062418
0.050100 -0.093001 -0.330824 -0.061096
0.052104 -0.077709 -0.321618 -0.029000
0.054108 -0.031856 -0.327606 -0.027079
0.056112 -0.047243 -0.368484 0.010194
0.058116 -0.076057 -0.311108 -0.059974
0.060120 -0.068454 -0.286822 -0.025204
0.062124 -0.060977 -0.254270 -0.052867
0.064128 -0.051940 -0.251144 -0.054211
0.066132 0.000335 -0.172321 0.037567
0.068136 -0.017300 -0.115874 0.050284
0.070140 -0.024070 -0.071387 0.012688
0.072144 -0.119345 -0.055284 0.043833
0.074148 -0.074016 -0.000599 0.009761
0.076152 -0.059153 0.002570 -0.002026
0.078156 -0.084438 -0.034379 -0.018117
0.080160 -0.064759 -0.089927 -0.035809
0.082164 -0.078143 -0.097397 -0.022244
0.084168 -0.125545 -0.108270 0.027113
0.086172 -0.174336 -0.074421 -0.002336
0.088176 -0.159843 -0.115941 -0.012401
0.090180 -0.207158 -0.110947 -0.042780
0.092184 -0.281850 -0.145362 -0.032283
0.094188 -0.296759 -0.236624 -0.009519
0.096192 -0.333852 -0.248697 -0.020536
0.098196 -0.363323 -0.280462 -0.003598
0.100200 -0.348170 -0.306624 -0.038601
0.102204 -0.334061 -0.294510 -0.020372
0.104208 -0.428611 -0.236415 -0.011037
0.106212 -0.438540 -0.230320 -0.008960
