Time p_x p_y p_z
0.000000 -0.079526 -0.070092 -0.167739
0.002004 -0.079640 -0.001832 -0.167707
0.004008 -0.079747 0.066435 -0.167690
0.006012 -0.079845 0.134684 -0.167667
0.008016 -0.079929 0.202933 -0.167649
0.010020 -0.080015 0.271189 -0.167644
0.012024 -0.080103 0.339446 -0.167651
0.014028 -0.080197 0.407693 -0.167657
0.016032 -0.080286 0.475959 -0.167657
0.018036 -0.080382 0.544227 -0.167642
0.020040 -0.080483 0.612512 -0.167641
0.022044 -0.080566 0.680791 -0.167650
0.024048 -0.080636 0.749059 -0.167676
0.026052 -0.080720 0.817332 -0.167696
0.028056 -0.080787 0.885617 -0.167719
0.030060 -0.080852 0.953902 -0.167746
0.032064 -0.080941 1.022171 -0.167794
0.034068 -0.081019 1.090427 -0.167831
0.036072 -0.081091 1.158687 -0.167862
0.038076 -0.081139 1.226972 -0.167908
0.040080 -0.081171 1.295268 -0.167950
0.042084 -0.081195 1.363577 -0.167996
0.044088 -0.081193 1.431874 -0.168044
0.046092 -0.081190 1.467690 -0.168086
0.048096 -0.081195 1.503511 -0.168130
0.050100 -0.081201 1.539332 -0.168189
0.052104 -0.081203 1.575142 -0.168254
0.054108 -0.081198 1.610943 -0.168292
0.056112 -0.081202 1.646756 -0.168345
0.058116 -0.081209 1.682579 -0.168399
0.060120 -0.081216 1.718396 -0.168451
0.062124 -0.081235 1.754223 -0.168521
0.064128 -0.081241 1.790054 -0.168586
0.066132 -0.081251 1.825881 -0.168655
0.068136 -0.081261 1.861689 -0.168724
0.070140 -0.081262 1.897503 -0.168794
0.072144 -0.081266 1.933316 -0.168874
0.074148 -0.081274 1.969138 -0.168957
0.076152 -0.081288 2.004961 -0.169027
0.078156 -0.081282 2.040791 -0.169083
0.080160 -0.081287 2.076631 -0.169144
0.082164 -0.081311 2.112461 -0.169231
0.084168 -0.081341 2.148292 -0.169315
0.086172 -0.081372 2.184121 -0.169411
0.088176 -0.081402 2.219975 -0.169513
0.090180 -0.081400 2.255812 -0.169624
0.092184 -0.081405 2.291649 -0.169738
0.094188 -0.081434 2.327487 -0.169858
0.096192 -0.081459 2.363304 -0.169961
0.098196 -0.081473 2.399114 -0.170074
0.100200 -0.081468 2.434919 -0.170188
0.102204 -0.081456 2.470725 -0.170304
0.104208 -0.081438 2.506514 -0.170416
0.106212 -0.081432 2.542308 -0.170522
0.108216 -0.081417 2.578094 -0.170641
0.110220 -0.081391 2.613875 -0.170756
0.112224 -0.081378 2.649650 -0.170874
0.114228 -0.081379 2.685428 -0.171000
0.116232 -0.081378 2.721207 -0.171151
0.118236 -0.081376 2.756963 -0.171291
0.120240 -0.081362 2.792714 -0.171442
