Time v_x v_y v_z
0.000000 -0.220819 -0.106012 0.171659
0.002004 -0.232636 -0.034162 0.170931
0.004008 -0.205949 0.038850 0.177372
0.006012 -0.222783 0.142934 0.173171
0.008016 -0.250062 0.183622 0.159691
0.010020 -0.268290 0.276429 0.157125
0.012024 -0.280562 0.367471 0.156286
0.014028 -0.229889 0.479402 0.204131
0.016032 -0.228327 0.564282 0.208783
0.018036 -0.260489 0.641462 0.260626
0.020040 -0.259505 0.741657 0.271510
0.022044 -0.232408 0.825084 0.266324
0.024048 -0.219358 0.917968 0.254022
0.026052 -0.174515 0.973923 0.272826
0.028056 -0.171903 1.014646 0.263614
0.030060 -0.152379 1.099035 0.271303
0.032064 -0.144935 1.135493 0.275871
0.034068 -0.155385 1.178019 0.259506
0.036072 -0.143329 1.274776 0.271356
0.038076 -0.127160 1.332695 0.323520
0.040080 -0.124311 1.407044 0.364800
0.042084 -0.142184 1.500421 0.358295
0.044088 -0.183108 1.622305 0.378577
0.046092 -0.193805 1.633371 0.404568
0.048096 -0.199783 1.677745 0.404894
0.050100 -0.156830 1.719618 0.427474
0.052104 -0.187700 1.774587 0.427909
0.054108 -0.180087 1.808969 0.427397
0.056112 -0.156721 1.854888 0.440382
0.058116 -0.134612 1.869142 0.453979
0.060120 -0.119077 1.913274 0.469340
0.062124 -0.124113 1.942991 0.446746
0.064128 -0.120504 1.982197 0.452083
0.066132 -0.114475 2.021866 0.446062
0.068136 -0.107417 2.077995 0.418753
0.070140 -0.099599 2.082253 0.386642
0.072144 -0.111775 2.116278 0.388170
0.074148 -0.096506 2.120589 0.427229
0.076152 -0.092073 2.154884 0.401859
0.078156 -0.080106 2.190313 0.421846
0.080160 -0.063427 2.209107 0.388535
0.082164 -0.083774 2.264087 0.367755
0.084168 -0.067357 2.288928 0.413338
0.086172 -0.103860 2.310871 0.443597
0.088176 -0.103513 2.331611 0.489637
0.090180 -0.095411 2.338404 0.476522
0.092184 -0.116532 2.360585 0.493066
0.094188 -0.096283 2.417678 0.531755
0.096192 -0.107238 2.428557 0.499593
0.098196 -0.088316 2.488079 0.484625
0.100200 -0.050317 2.527400 0.436141
0.102204 -0.078571 2.521469 0.431588
0.104208 -0.087988 2.533687 0.407754
0.106212 -0.125547 2.561445 0.401325
0.108216 -0.095729 2.582173 0.427443
0.110220 -0.096476 2.636343 0.415154
0.112224 -0.132589 2.702698 0.406127
0.114228 -0.124292 2.731429 0.425619
0.116232 -0.134543 2.746930 0.416577
0.118236 -0.152334 2.758120 0.433247
0.120240 -0.163234 2.775894 0.443116
0.122244 -0.171237 2.774822 0.427560
0.124248 -0.175228 2.817912 0.427784
0.126253 -0.142834 2.851315 0.430089
0.128257 -0.121720 2.890354 0.428816
0.130261 -0.125125 2.956127 0.441705
0.132265 -0.060907 2.964239 0.426544
0.134269 -0.056950 3.004801 0.422189
0.136273 -0.055620 3.014585 0.429904
0.138277 -0.048504 3.022111 0.411728
0.140281 -0.052190 3.048600 0.404601
0.142285 -0.038331 3.062566 0.407850
0.144289 -0.039297 3.075091 0.385596
0.146293 -0.021243 3.103085 0.359280
0.148297 0.012152 3.108752 0.368935
0.150301 0.037912 3.137293 0.367305
0.152305 0.048591 3.127283 0.376708
0.154309 0.063178 3.157600 0.378391
0.156313 0.073411 3.199359 0.358098
0.158317 0.102635 3.246778 0.320581
0.160321 0.105407 3.259669 0.293651
0.162325 0.088846 3.293654 0.291408
0.164329 0.113528 3.264932 0.274805
0.166333 0.129788 3.293266 0.293678
0.168337 0.118099 3.303252 0.295838
0.170341 0.169127 3.305426 0.311134
0.172345 0.185792 3.324138 0.322789
0.174349 0.189430 3.342436 0.332577
0.176353 0.177753 3.330663 0.312831
0.178357 0.181339 3.314013 0.327610
0.180361 0.181467 3.346117 0.355485
0.182365 0.241474 3.376598 0.329078
0.184369 0.231346 3.363779 0.310382
0.186373 0.216594 3.363610 0.324488
0.188377 0.212007 3.393636 0.321997
0.190381 0.173296 3.451124 0.337194
0.192385 0.175769 3.491887 0.363502
0.194389 0.216081 3.509935 0.359212
0.196393 0.191281 3.515044 0.336953
0.198397 0.216426 3.490501 0.343602
0.200401 0.238043 3.488618 0.332604
0.202405 0.225281 3.513865 0.331095
0.204409 0.149793 3.515504 0.297388
0.206413 0.144620 3.532024 0.296617
0.208417 0.170762 3.554883 0.288699
0.210421 0.170571 3.590639 0.294578
0.212425 0.139016 3.613797 0.282539
0.214429 0.135419 3.624330 0.259131
0.216433 0.179711 3.646653 0.236608
0.218437 0.174472 3.632780 0.223618
0.220441 0.162034 3.641881 0.233152
0.222445 0.175921 3.663198 0.217613
0.224449 0.167144 3.685401 0.233707
0.226453 0.177538 3.632092 0.218753
0.228457 0.159512 3.664564 0.226954
0.230461 0.143843 3.665654 0.202457
0.232465 0.161359 3.680907 0.214024
0.234469 0.167817 3.708692 0.230922
0.236473 0.176194 3.709340 0.214019
0.238477 0.178707 3.701167 0.248704
0.240481 0.177702 3.704588 0.270490
0.242485 0.152041 3.688016 0.277331
0.244489 0.140399 3.710471 0.270713
0.246493 0.096578 3.750024 0.261153
0.248497 0.090067 3.786213 0.257457
0.250501 0.086724 3.814328 0.259662
0.252505 0.126684 3.842145 0.295857
0.254509 0.101640 3.883358 0.280456
0.256513 0.102207 3.892178 0.270189
0.258517 0.083142 3.907595 0.280829
0.260521 0.108955 3.974715 0.240577
0.262525 0.128188 3.983965 0.241263
0.264529 0.140915 3.971638 0.233170
0.266533 0.137364 3.979837 0.214235
0.268537 0.131160 4.011203 0.209149
0.270541 0.106309 4.015422 0.219780
0.272545 0.135869 4.033268 0.161187
0.274549 0.157015 4.061836 0.178093
0.276553 0.090734 4.081806 0.211908
0.278557 0.132808 4.074955 0.197671
0.280561 0.121695 4.124394 0.181974
0.282565 0.107747 4.177011 0.167995
0.284569 0.124718 4.167121 0.181724
0.286573 0.128167 4.187120 0.192425
0.288577 0.100105 4.189312 0.203136
0.290581 0.152550 4.198635 0.188281
0.292585 0.160215 4.230426 0.205928
0.294589 0.154369 4.265723 0.272400
0.296593 0.141602 4.242307 0.265232
0.298597 0.170451 4.270304 0.277368
0.300601 0.170340 4.288138 0.219967
0.302605 0.130636 4.282112 0.208219
0.304609 0.111318 4.312730 0.210862
0.306613 0.115305 4.337674 0.211711
0.308617 0.129874 4.355354 0.245291
0.310621 0.096481 4.323129 0.217688
0.312625 0.070331 4.321401 0.229263
0.314629 0.043012 4.312250 0.206620
0.316633 0.015369 4.317290 0.188850
0.318637 0.019409 4.324477 0.201427
0.320641 0.040403 4.337407 0.170904
0.322645 0.042054 4.344895 0.184920
0.324649 0.011334 4.358561 0.190824
0.326653 0.025853 4.339713 0.174913
0.328657 0.024000 4.364192 0.151594
0.330661 0.017935 4.392068 0.172516
0.332665 0.031231 4.426309 0.158310
0.334669 0.016497 4.421545 0.131001
0.336673 0.013159 4.449343 0.097448
0.338677 0.046919 4.422670 0.117692
0.340681 0.050179 4.394158 0.110526
0.342685 0.047484 4.394041 0.111570
0.344689 -0.010708 4.357731 0.084023
0.346693 0.018304 4.327741 0.084717
0.348697 0.068579 4.305313 0.063157
0.350701 0.079550 4.296289 0.051604
0.352705 0.089428 4.309220 0.073319
0.354709 0.105618 4.333476 0.090231
0.356713 0.105779 4.347414 0.058036
0.358717 0.093439 4.387539 0.075972
0.360721 0.080428 4.441558 0.094318
0.362725 0.104670 4.444791 0.097463
0.364729 0.095946 4.483659 0.086261
0.366733 0.079203 4.480260 0.075459
0.368737 0.095573 4.507266 0.128590
0.370741 0.124594 4.477038 0.072901
0.372745 0.128471 4.478599 0.050412
0.374749 0.124830 4.503256 0.062900
0.376754 0.094565 4.490613 0.076494
0.378758 0.075947 4.464628 0.080406
0.380762 0.104885 4.476818 0.117657
0.382766 0.070232 4.486917 0.124584
0.384770 0.051200 4.519129 0.104568
0.386774 0.070367 4.518687 0.104338
0.388778 0.029922 4.540873 0.141903
0.390782 0.034934 4.507813 0.121196
0.392786 0.046521 4.501020 0.139591
0.394790 0.038531 4.516715 0.144324
0.396794 0.049624 4.552950 0.124180
0.398798 0.082816 4.561716 0.090091
0.400802 0.068185 4.599991 0.123829
0.402806 0.037075 4.650928 0.120904
0.404810 0.001506 4.681187 0.153847
0.406814 -0.032477 4.713362 0.178101
0.408818 -0.040132 4.774207 0.210543
0.410822 -0.040011 4.775567 0.228113
0.412826 -0.013926 4.771300 0.226887
0.414830 -0.008128 4.806380 0.223857
0.416834 0.022031 4.791156 0.206751
0.418838 0.034287 4.814177 0.223270
0.420842 0.057669 4.818738 0.263252
0.422846 0.070345 4.783491 0.250700
0.424850 0.034997 4.809600 0.226036
0.426854 0.015495 4.794557 0.219854
0.428858 0.016779 4.818586 0.191923
0.430862 0.029394 4.833748 0.138249
0.432866 0.061614 4.834697 0.118440
0.434870 0.050713 4.858585 0.116889
0.436874 0.023395 4.895183 0.154888
0.438878 0.055870 4.894988 0.166673
0.440882 0.038732 4.917183 0.167678
0.442886 0.028290 4.936541 0.160321
0.444890 0.012742 4.882746 0.137155
0.446894 -0.001314 4.897054 0.119519
0.448898 -0.036696 4.902775 0.107545
0.450902 -0.090447 4.907051 0.061394
0.452906 -0.099335 4.913709 0.024494
0.454910 -0.126173 4.887479 0.032661
0.456914 -0.149229 4.856465 0.046217
0.458918 -0.156269 4.875622 0.052884
0.460922 -0.149680 4.931164 0.044826
0.462926 -0.190477 4.941729 0.057315
0.464930 -0.176509 4.949771 0.073598
0.466934 -0.199115 4.990297 0.089200
0.468938 -0.191378 5.028877 0.101194
0.470942 -0.197924 5.067600 0.102778
0.472946 -0.163681 5.041174 0.102843
0.474950 -0.122397 5.070478 0.125115
0.476954 -0.098347 5.091719 0.085827
0.478958 -0.105566 5.121558 0.086939
0.480962 -0.110297 5.098688 0.056735
0.482966 -0.117049 5.112160 0.053826
0.484970 -0.122434 5.098008 0.028224
0.486974 -0.102014 5.117534 0.025343
0.488978 -0.115682 5.116633 -0.003284
0.490982 -0.133281 5.142615 -0.011870
0.492986 -0.122713 5.155956 -0.027852
0.494990 -0.104631 5.213733 -0.069853
0.496994 -0.095269 5.217462 -0.070309
0.498998 -0.138135 5.236632 -0.064415
0.501002 -0.151776 5.266966 -0.102827
0.503006 -0.173628 5.269491 -0.113501
0.505010 -0.192342 5.280820 -0.113350
0.507014 -0.180754 5.308346 -0.110625
0.509018 -0.137776 5.336310 -0.078983
0.511022 -0.117818 5.396849 -0.056609
0.513026 -0.126414 5.394942 -0.015294
0.515030 -0.120961 5.440537 -0.048176
0.517034 -0.106108 5.465259 -0.030067
0.519038 -0.084085 5.492934 -0.017559
0.521042 -0.075552 5.489961 -0.044374
0.523046 -0.071542 5.508701 -0.070567
0.525050 -0.094059 5.554060 -0.054560
0.527054 -0.074353 5.556610 -0.061451
0.529058 -0.074772 5.593850 -0.049346
0.531062 -0.076193 5.605331 -0.033810
0.533066 -0.061685 5.614996 -0.040380
0.535070 -0.069322 5.633593 -0.006095
0.537074 -0.088448 5.617348 -0.013941
0.539078 -0.106125 5.610098 -0.011116
0.541082 -0.098683 5.613022 -0.013211
0.543086 -0.088742 5.664369 -0.011166
0.545090 -0.103194 5.705787 0.000311
0.547094 -0.125757 5.714850 -0.004386
0.549098 -0.143901 5.714703 -0.017447
0.551102 -0.132352 5.741824 -0.027855
0.553106 -0.140683 5.752827 -0.036867
0.555110 -0.139762 5.722894 -0.023269
0.557114 -0.148960 5.761641 -0.024766
0.559118 -0.177037 5.778513 -0.049938
0.561122 -0.170789 5.769096 -0.062722
0.563126 -0.175158 5.785583 -0.079611
0.565130 -0.207005 5.824072 -0.074260
0.567134 -0.237477 5.845968 -0.021393
0.569138 -0.226639 5.861070 -0.001394
0.571142 -0.243263 5.862744 -0.037425
0.573146 -0.206852 5.864319 -0.025001
0.575150 -0.207997 5.865210 -0.017763
0.577154 -0.208130 5.863538 -0.032127
0.579158 -0.261852 5.900229 -0.042888
0.581162 -0.245329 5.914411 -0.077144
0.583166 -0.282529 5.947846 -0.102560
0.585170 -0.271763 5.942087 -0.127640
0.587174 -0.245735 5.953021 -0.128342
0.589178 -0.232684 5.996825 -0.163935
0.591182 -0.254815 5.997017 -0.125674
0.593186 -0.232685 6.021555 -0.090387
0.595190 -0.190139 6.028299 -0.115370
0.597194 -0.232302 6.051722 -0.127996
0.599198 -0.275759 6.082923 -0.126483
0.601202 -0.281271 6.076901 -0.124551
0.603206 -0.284038 6.058418 -0.119660
0.605210 -0.270004 6.062540 -0.138770
0.607214 -0.264526 6.810657 -0.116691
0.609218 -0.276608 7.572520 -0.135314
0.611222 -0.291802 7.604346 -0.119614
0.613226 -0.289030 7.640202 -0.179530
0.615230 -0.236368 7.699105 -0.175951
0.617234 -0.257909 7.726831 -0.198630
0.619238 -0.247197 7.734446 -0.166132
0.621242 -0.253129 7.755485 -0.148706
0.623246 -0.208218 7.769514 -0.186681
0.625251 -0.201853 7.788424 -0.197595
0.627255 -0.228100 7.764723 -0.215953
0.629259 -0.191363 7.827266 -0.196666
0.631263 -0.158445 7.863064 -0.175975
0.633267 -0.168029 7.915341 -0.211019
0.635271 -0.156039 7.964955 -0.224242
0.637275 -0.151260 7.970863 -0.233772
0.639279 -0.140487 7.961280 -0.219388
0.641283 -0.138400 8.019812 -0.270010
0.643287 -0.134142 8.060929 -0.282570
0.645291 -0.156128 8.096272 -0.277794
0.647295 -0.181413 8.150948 -0.258361
0.649299 -0.179079 8.182155 -0.233313
0.651303 -0.178259 8.237471 -0.230480
0.653307 -0.158293 8.288880 -0.185628
0.655311 -0.168155 8.330234 -0.191841
0.657315 -0.101703 8.390282 -0.225101
0.659319 -0.130757 8.447771 -0.226599
0.661323 -0.123872 8.475466 -0.222691
0.663327 -0.139830 8.526676 -0.224951
0.665331 -0.164291 8.566088 -0.199184
0.667335 -0.175705 8.587440 -0.192386
0.669339 -0.166477 8.602932 -0.215529
0.671343 -0.144121 8.633065 -0.217858
0.673347 -0.146157 8.663232 -0.214358
0.675351 -0.121707 8.700954 -0.188585
0.677355 -0.146403 8.672736 -0.174654
0.679359 -0.139362 8.736326 -0.154089
0.681363 -0.160581 8.767260 -0.155253
0.683367 -0.161275 8.807755 -0.153812
0.685371 -0.174104 8.808409 -0.115700
0.687375 -0.174559 8.870242 -0.160118
0.689379 -0.175179 8.868764 -0.167236
0.691383 -0.194078 8.921706 -0.165704
0.693387 -0.201191 8.950758 -0.156965
0.695391 -0.187845 8.971254 -0.132790
0.697395 -0.198477 9.015039 -0.162863
0.699399 -0.190592 9.059083 -0.157811
0.701403 -0.231970 9.100892 -0.144285
0.703407 -0.246669 9.177274 -0.138446
0.705411 -0.253477 9.206902 -0.127888
0.707415 -0.264662 9.244584 -0.114984
0.709419 -0.287434 9.285403 -0.128649
0.711423 -0.288270 9.297297 -0.130935
0.713427 -0.270037 9.328256 -0.085599
0.715431 -0.246406 9.370506 -0.045738
0.717435 -0.271374 9.421766 -0.029583
0.719439 -0.218186 9.441196 -0.093199
0.721443 -0.199541 9.466036 -0.051582
0.723447 -0.192835 9.516426 -0.074380
0.725451 -0.173803 9.577796 -0.114522
0.727455 -0.169400 9.591707 -0.097520
0.729459 -0.202806 9.639322 -0.046259
0.731463 -0.226789 9.664319 -0.034875
0.733467 -0.213589 9.702161 -0.065617
0.735471 -0.258011 9.710826 -0.099143
0.737475 -0.262026 9.780233 -0.088074
0.739479 -0.266245 9.779083 -0.063465
0.741483 -0.282186 9.829251 -0.073056
0.743487 -0.268017 9.895616 -0.090300
0.745491 -0.269079 9.941134 -0.059814
0.747495 -0.258211 9.968045 -0.059139
0.749499 -0.252292 9.968080 -0.046180
0.751503 -0.217074 10.053122 -0.078968
0.753507 -0.203640 10.077434 -0.102176
0.755511 -0.232389 10.105628 -0.088195
0.757515 -0.249866 10.177456 -0.095392
0.759519 -0.274141 10.215889 -0.097938
0.761523 -0.265228 10.245420 -0.129859
0.763527 -0.242635 10.329445 -0.149784
0.765531 -0.258993 10.388712 -0.130231
0.767535 -0.252484 10.405400 -0.146133
0.769539 -0.252122 10.439051 -0.165224
0.771543 -0.257088 10.464206 -0.147662
0.773547 -0.266366 10.498176 -0.121027
0.775551 -0.288201 10.510011 -0.113384
0.777555 -0.313451 10.536940 -0.130011
0.779559 -0.361036 10.565268 -0.127243
0.781563 -0.365188 10.595411 -0.157440
0.783567 -0.357429 10.627139 -0.168220
0.785571 -0.371633 10.667410 -0.154770
0.787575 -0.325793 10.672093 -0.158620
0.789579 -0.337645 10.683997 -0.158105
0.791583 -0.349542 10.685607 -0.160606
0.793587 -0.339139 10.686330 -0.188946
0.795591 -0.350116 10.706780 -0.197065
0.797595 -0.361161 10.753482 -0.197052
0.799599 -0.370232 10.765486 -0.182659
0.801603 -0.367086 10.767149 -0.185913
0.803607 -0.374852 10.796522 -0.166311
0.805611 -0.422308 10.823020 -0.178557
0.807615 -0.456014 10.851056 -0.217284
0.809619 -0.430174 10.848442 -0.214484
0.811623 -0.435778 10.855454 -0.222457
0.813627 -0.448425 10.865395 -0.272606
0.815631 -0.506572 10.896286 -0.253421
0.817635 -0.507092 10.916317 -0.268176
0.819639 -0.515442 10.950092 -0.285882
0.821643 -0.562906 10.942236 -0.328516
0.823647 -0.563802 10.944760 -0.303379
0.825651 -0.559080 10.979492 -0.303777
0.827655 -0.539056 10.980088 -0.288270
0.829659 -0.531402 11.016100 -0.286215
0.831663 -0.522813 11.044819 -0.268332
0.833667 -0.516995 11.038856 -0.273838
0.835671 -0.496278 11.097801 -0.290559
0.837675 -0.533694 11.140296 -0.311985
0.839679 -0.535476 11.147258 -0.355153
0.841683 -0.523320 11.166852 -0.381079
0.843687 -0.556277 11.194892 -0.384531
0.845691 -0.519624 11.251222 -0.393213
0.847695 -0.519991 11.259857 -0.360599
0.849699 -0.552217 11.262337 -0.356855
0.851703 -0.564291 11.269157 -0.377571
0.853707 -0.578778 11.310072 -0.376373
0.855711 -0.539295 11.330119 -0.420930
0.857715 -0.537405 11.365075 -0.417721
0.859719 -0.542570 11.402282 -0.413173
0.861723 -0.564493 11.399068 -0.352124
0.863727 -0.549419 11.420413 -0.352724
0.865731 -0.506717 11.464668 -0.355484
0.867735 -0.484555 11.497127 -0.387115
0.869739 -0.526849 11.524533 -0.381649
0.871743 -0.518214 11.561312 -0.353409
0.873747 -0.518847 11.563701 -0.314293
0.875752 -0.538558 11.606859 -0.281263
0.877756 -0.564226 11.638044 -0.261417
0.879760 -0.540079 11.657950 -0.272143
0.881764 -0.571711 11.672695 -0.284864
0.883768 -0.626732 11.728859 -0.282281
0.885772 -0.629348 11.752694 -0.288285
0.887776 -0.613067 11.728491 -0.268985
0.889780 -0.621887 11.713432 -0.277724
0.891784 -0.622750 11.752855 -0.293715
