Iteration P0_1 P0_2 P0_3 P0_4 P0_5 P0_6 P0_7 P0_8 P0_9 P0_10 P0_11 P0_12 P0_13 P0_14 P0_15 P0_16 P0_17 P0_18 P0_19 P0_20 P0_21 
1 -0.969592 3.685777 -1.373055 3.587309 1.795926 0.143388 -1.321623 -0.859483 0.372788 4.811933 1.662853 0.639342 2.256706 1.850951 3.435606 2.397451 1.642351 2.077541 1.433012 0.590440 -1.532187 
2 0.624633 0.118175 0.530749 1.009597 0.874189 1.219124 -0.191284 -0.262185 0.462846 0.973269 0.158554 0.170380 0.706930 -0.007644 1.210200 1.399513 1.127222 0.674907 0.749248 0.790390 1.104149 
3 1.490343 0.407693 1.404903 0.901790 0.927794 1.792294 0.741504 0.149279 0.419156 1.352621 0.306658 0.759049 0.517212 0.084418 1.311487 0.783182 0.753845 0.949625 0.374106 0.386288 1.367187 
4 1.719836 0.418961 1.675963 0.794017 0.929661 1.995031 1.012994 0.276913 0.357546 1.429929 0.348387 0.964774 0.440234 0.075492 1.358834 0.606746 0.679737 1.028520 0.220598 0.245481 1.389451 
5 1.880812 0.448120 1.825131 0.713901 0.926718 2.065681 1.130035 0.334445 0.298405 1.456815 0.375098 1.074234 0.402382 0.070302 1.393687 0.518996 0.660829 1.052235 0.133227 0.185213 1.379841 
6 2.002196 0.488911 1.928891 0.653914 0.928511 2.079584 1.193493 0.369322 0.249551 1.470611 0.395163 1.142911 0.380572 0.070996 1.420818 0.460369 0.655560 1.051911 0.079801 0.157120 1.366998 
7 2.093859 0.530954 2.007491 0.607333 0.933677 2.067043 1.233652 0.395663 0.210991 1.480059 0.412114 1.191369 0.366868 0.075041 1.442602 0.416872 0.654853 1.040266 0.044949 0.143128 1.354922 
8 2.164152 0.570337 2.069686 0.570561 0.940405 2.042209 1.261837 0.417921 0.180670 1.487566 0.427253 1.228516 0.357670 0.080742 1.460681 0.383505 0.656244 1.023439 0.020818 0.135760 1.343582 
9 2.219277 0.606019 2.120423 0.541471 0.947627 2.012210 1.283081 0.437593 0.156580 1.493923 0.441053 1.258576 0.351078 0.087123 1.476086 0.357615 0.658735 1.004514 0.003275 0.131695 1.332709 
10 2.263541 0.637992 2.162816 0.518579 0.954814 1.980747 1.299938 0.455245 0.137197 1.499472 0.453721 1.283747 0.346046 0.093636 1.489436 0.337457 0.661778 0.985107 -0.009956 0.129353 1.322224 
11 2.299890 0.666581 2.198921 0.500738 0.961724 1.949754 1.313842 0.471149 0.121438 1.504404 0.465385 1.305287 0.342002 0.099979 1.501116 0.321770 0.665036 0.966085 -0.020199 0.127937 1.312164 
12 2.330348 0.692188 2.230145 0.487016 0.968262 1.920221 1.325660 0.485490 0.108534 1.508849 0.476148 1.323985 0.338632 0.106000 1.511391 0.309605 0.668309 0.947921 -0.028269 0.127033 1.302596 
13 2.356329 0.715200 2.257480 0.476644 0.974400 1.892627 1.335944 0.498427 0.097927 1.512902 0.486103 1.340381 0.335764 0.111631 1.520463 0.300230 0.671479 0.930861 -0.034698 0.126418 1.293582 
14 2.378835 0.735958 2.281642 0.468992 0.980146 1.867167 1.345062 0.510107 0.089196 1.516634 0.495331 1.354864 0.333297 0.116853 1.528494 0.293079 0.674486 0.915020 -0.039853 0.125974 1.285162 
