Time u
0.000000 0.216760
0.002004 0.184340
0.004008 0.163504
0.006012 0.143200
0.008016 0.054683
0.010020 0.038110
0.012024 0.014331
0.014028 0.037243
0.016032 0.038257
0.018036 0.076553
0.020040 0.056864
0.022044 0.081532
0.024048 0.032142
0.026052 -0.003027
0.028056 -0.000202
0.030060 0.013145
0.032064 0.063078
0.034068 0.032746
0.036072 0.002285
0.038076 0.006266
0.040080 -0.068517
0.042084 -0.089111
0.044088 -0.109881
0.046092 -0.110002
0.048096 -0.136522
0.050100 -0.109503
0.052104 -0.105403
0.054108 -0.069703
0.056112 -0.025892
0.058116 0.038933
0.060120 -0.016266
0.062124 0.054995
0.064128 -0.026587
0.066132 -0.052582
0.068136 0.021129
0.070140 0.024617
0.072144 -0.005477
0.074148 0.018599
0.076152 -0.008274
0.078156 0.027626
0.080160 0.024632
0.082164 -0.026792
0.084168 -0.038973
0.086172 -0.080323
0.088176 -0.081875
0.090180 -0.058332
0.092184 -0.074960
0.094188 -0.076110
0.096192 -0.146522
0.098196 -0.118395
0.100200 -0.120901
0.102204 -0.071747
0.104208 -0.124788
0.106212 -0.145715
0.108216 -0.191343
0.110220 -0.182049
0.112224 -0.195760
0.114228 -0.237065
0.116232 -0.226391
0.118236 -0.243670
0.120240 -0.197154
0.122244 -0.186683
0.124248 -0.181833
0.126253 -0.158456
0.128257 -0.107274
0.130261 -0.115636
0.132265 -0.122440
0.134269 -0.141265
0.136273 -0.170858
0.138277 -0.142432
0.140281 -0.149737
0.142285 -0.153333
0.144289 -0.189610
0.146293 -0.217192
0.148297 -0.191830
0.150301 -0.134892
0.152305 -0.109101
0.154309 -0.138535
0.156313 -0.137405
0.158317 -0.130315
0.160321 -0.108345
0.162325 -0.088684
0.164329 -0.101870
0.166333 -0.123795
0.168337 -0.138047
0.170341 -0.142482
0.172345 -0.176202
0.174349 -0.169809
0.176353 -0.168287
0.178357 -0.138516
0.180361 -0.143445
0.182365 -0.138196
0.184369 -0.107667
0.186373 -0.122892
0.188377 -0.129783
0.190381 -0.188020
0.192385 -0.201655
0.194389 -0.215210
0.196393 -0.208957
0.198397 -0.176856
0.200401 -0.142350
0.202405 -0.150864
0.204409 -0.192697
0.206413 -0.202030
0.208417 -0.227230
0.210421 -0.212375
0.212425 -0.219727
0.214429 -0.211200
0.216433 -0.188322
0.218437 -0.207350
0.220441 -0.198496
0.222445 -0.110601
0.224449 -0.161634
0.226453 -0.152567
0.228457 -0.161704
0.230461 -0.148574
0.232465 -0.151661
0.234469 -0.143743
0.236473 -0.141112
0.238477 -0.128772
0.240481 -0.099195
0.242485 -0.086515
0.244489 -0.093289
0.246493 -0.087491
0.248497 -0.127387
0.250501 -0.204892
0.252505 -0.184499
0.254509 -0.161352
0.256513 -0.133889
0.258517 -0.108597
0.260521 -0.104924
0.262525 -0.112561
0.264529 -0.115445
0.266533 -0.082590
0.268537 -0.118899
0.270541 -0.141139
0.272545 -0.116335
0.274549 -0.109707
0.276553 -0.097210
0.278557 -0.094902
0.280561 -0.078947
0.282565 -0.061372
0.284569 -0.064926
0.286573 -0.057185
0.288577 -0.056468
0.290581 -0.047713
0.292585 -0.043775
0.294589 -0.048051
0.296593 -0.032603
0.298597 -0.063299
0.300601 -0.076171
0.302605 -0.013933
0.304609 0.001219
0.306613 -0.012626
0.308617 -0.032730
0.310621 -0.001042
0.312625 -0.039023
0.314629 -0.037590
0.316633 -0.004751
0.318637 0.004716
0.320641 0.018844
0.322645 -0.014061
0.324649 0.032387
0.326653 0.049422
0.328657 0.041477
0.330661 0.026270
0.332665 0.059823
0.334669 0.031932
0.336673 0.060679
0.338677 0.078474
0.340681 0.085323
0.342685 0.068390
0.344689 0.057436
0.346693 0.057349
0.348697 0.040193
0.350701 0.050870
0.352705 0.020525
0.354709 0.018976
0.356713 0.054350
0.358717 0.071508
0.360721 0.089989
0.362725 0.110937
0.364729 0.098295
0.366733 0.120355
0.368737 0.119945
0.370741 0.121746
0.372745 0.135340
0.374749 0.132854
0.376754 0.144912
0.378758 0.111462
0.380762 0.137733
0.382766 0.132515
0.384770 0.140680
0.386774 0.143705
0.388778 0.172813
0.390782 0.157624
0.392786 0.153229
0.394790 0.134078
0.396794 0.123106
0.398798 0.135780
0.400802 0.155294
0.402806 0.162894
0.404810 0.153638
0.406814 0.170692
0.408818 0.173725
0.410822 0.207541
0.412826 0.221907
0.414830 0.213221
0.416834 0.199308
0.418838 0.176716
0.420842 0.169303
0.422846 0.162872
0.424850 0.176718
0.426854 0.205312
0.428858 0.189313
0.430862 0.180260
0.432866 0.172677
0.434870 0.162164
0.436874 0.167510
0.438878 0.150477
0.440882 0.135997
0.442886 0.139263
0.444890 0.147025
0.446894 0.146835
0.448898 0.136763
0.450902 0.120301
0.452906 0.106250
0.454910 0.130952
0.456914 0.126234
0.458918 0.165799
0.460922 0.185532
0.462926 0.195193
0.464930 0.193259
0.466934 0.192627
0.468938 0.192799
0.470942 0.178466
0.472946 0.175735
0.474950 0.163652
0.476954 0.163397
0.478958 0.173222
0.480962 0.186099
0.482966 0.170498
0.484970 0.174087
0.486974 0.167136
0.488978 0.165927
0.490982 0.170613
0.492986 0.164073
0.494990 0.172204
0.496994 0.160625
0.498998 0.145303
0.501002 0.124349
0.503006 0.116085
0.505010 0.105188
0.507014 0.096033
0.509018 0.105815
0.511022 0.106150
0.513026 0.100981
0.515030 0.111743
0.517034 0.113040
0.519038 0.126151
0.521042 0.127624
0.523046 0.124268
0.525050 0.119913
0.527054 0.112309
0.529058 0.102029
0.531062 0.103110
0.533066 0.093272
0.535070 0.082943
0.537074 0.083587
0.539078 0.081805
0.541082 0.072973
0.543086 0.072847
0.545090 0.078425
0.547094 0.081994
0.549098 0.086610
0.551102 0.094792
0.553106 0.083601
0.555110 0.099774
0.557114 0.099450
0.559118 0.097335
0.561122 0.094637
0.563126 0.095251
0.565130 0.105959
0.567134 0.108901
0.569138 0.115389
0.571142 0.108929
0.573146 0.110536
0.575150 0.105763
0.577154 0.104939
0.579158 0.107614
0.581162 0.111427
0.583166 0.119611
0.585170 0.123554
0.587174 0.126096
0.589178 0.125206
0.591182 0.120858
0.593186 0.117772
0.595190 0.110719
0.597194 0.108908
0.599198 0.101038
0.601202 0.100735
0.603206 0.101057
0.605210 0.094730
0.607214 0.091438
0.609218 0.089266
0.611222 0.090493
0.613226 0.089965
0.615230 0.093458
0.617234 0.093047
0.619238 0.090509
0.621242 0.080536
0.623246 0.081510
0.625251 0.082314
0.627255 0.079750
0.629259 0.077620
0.631263 0.076188
0.633267 0.074280
0.635271 0.082744
0.637275 0.075014
0.639279 0.070713
0.641283 0.071251
0.643287 0.072791
0.645291 0.074397
0.647295 0.080224
0.649299 0.079676
0.651303 0.073008
0.653307 0.077955
0.655311 0.083433
0.657315 0.081769
0.659319 0.085330
0.661323 0.084600
0.663327 0.085605
0.665331 0.082084
0.667335 0.081800
0.669339 0.079464
0.671343 0.076087
0.673347 0.072822
0.675351 0.069342
0.677355 0.068536
0.679359 0.074873
0.681363 0.072107
0.683367 0.073127
0.685371 0.069491
0.687375 0.071597
0.689379 0.066516
0.691383 0.067209
0.693387 0.067098
0.695391 0.063947
0.697395 0.055472
0.699399 0.056162
0.701403 0.049512
0.703407 0.046431
0.705411 0.046917
0.707415 0.043197
0.709419 0.040881
0.711423 0.040235
0.713427 0.039467
0.715431 0.042323
0.717435 0.040779
0.719439 0.037726
0.721443 0.035295
0.723447 0.034128
0.725451 0.030116
0.727455 0.029090
0.729459 0.026086
0.731463 0.026467
0.733467 0.024984
0.735471 0.022635
0.737475 0.019564
0.739479 0.017715
0.741483 0.015375
0.743487 0.011610
0.745491 0.007978
0.747495 0.007192
0.749499 0.005188
0.751503 0.001333
0.753507 -0.000474
0.755511 -0.002083
0.757515 -0.005498
0.759519 -0.008129
0.761523 -0.008786
0.763527 -0.010277
0.765531 -0.010466
0.767535 -0.011714
0.769539 -0.014214
0.771543 -0.014366
0.773547 -0.016933
0.775551 -0.018059
