Time p_x p_y 
0.000000 -0.012128 -0.135981 
0.002004 -0.012196 -0.120326 
0.004008 -0.012256 -0.108281 
0.006012 -0.012310 -0.108184 
0.008016 -0.012364 -0.122093 
0.010020 -0.012425 -0.159073 
0.012024 -0.012505 -0.181499 
0.014028 -0.012596 -0.195231 
0.016032 -0.012693 -0.201713 
0.018036 -0.012794 -0.196101 
0.020040 -0.012892 -0.190994 
0.022044 -0.012988 -0.172526 
0.024048 -0.013074 -0.164762 
0.026052 -0.013156 -0.195945 
0.028056 -0.013254 -0.178406 
0.030060 -0.013344 -0.202488 
0.032064 -0.013445 -0.213108 
0.034068 -0.013551 -0.229680 
0.036072 -0.013666 -0.215664 
0.038076 -0.013774 -0.255257 
0.040080 -0.013902 -0.242180 
0.042084 -0.014023 -0.259075 
0.044088 -0.014152 -0.278745 
0.046092 -0.014292 -0.309090 
0.048096 -0.014446 -0.328278 
0.050100 -0.014610 -0.356454 
0.052104 -0.014789 -0.377375 
0.054108 -0.014977 -0.351760 
0.056112 -0.015153 -0.356738 
0.058116 -0.015332 -0.381208 
0.060120 -0.015522 -0.355510 
0.062124 -0.015700 -0.342678 
0.064128 -0.015871 -0.334900 
0.066132 -0.016039 -0.347862 
0.068136 -0.016213 -0.333571 
0.070140 -0.016379 -0.348794 
0.072144 -0.016554 -0.367113 
0.074148 -0.016737 -0.381398 
0.076152 -0.016928 -0.392274 
0.078156 -0.017124 -0.381170 
0.080160 -0.017315 -0.361629 
0.082164 -0.017496 -0.406992 
0.084168 -0.017699 -0.417922 
0.086172 -0.017908 -0.450818 
0.088176 -0.018133 -0.424437 
0.090180 -0.018346 -0.389071 
0.092184 -0.018540 -0.404175 
0.094188 -0.018742 -0.385267 
0.096192 -0.018935 -0.373398 
0.098196 -0.019122 -0.365171 
0.100200 -0.019304 -0.345004 
0.102204 -0.019477 -0.328627 
0.104208 -0.019641 -0.323761 
0.106212 -0.019803 -0.340503 
0.108216 -0.019973 -0.306954 
0.110220 -0.020127 -0.329636 
0.112224 -0.020291 -0.331752 
0.114228 -0.020457 -0.339618 
0.116232 -0.020627 -0.317214 
0.118236 -0.020786 -0.290623 
0.120240 -0.020931 -0.261604 
0.122244 -0.021062 -0.230035 
0.124248 -0.021177 -0.261667 
0.126253 -0.021308 -0.253401 
0.128257 -0.021434 -0.253006 
0.130261 -0.021561 -0.266925 
0.132265 -0.021694 -0.262650 
0.134269 -0.021826 -0.269505 
