Iteration P0_1 P0_2 P0_3 
1 -3.020708 -1.649996 -1.801504 
2 1.411346 1.158817 1.796282 
3 1.838314 1.352027 1.890404 
4 2.036911 1.436964 1.926760 
5 2.151513 1.485433 1.947254 
6 2.223897 1.515954 1.960120 
7 2.271852 1.536147 1.968620 
8 2.304531 1.549897 1.974405 
9 2.327201 1.559431 1.978413 
10 2.343112 1.566120 1.981225 
11 2.354369 1.570852 1.983213 
12 2.362377 1.574217 1.984627 
13 2.368096 1.576620 1.985637 
14 2.372190 1.578341 1.986359 
15 2.375128 1.579575 1.986878 
16 2.377238 1.580462 1.987250 
17 2.378755 1.581099 1.987518 
18 2.379847 1.581558 1.987711 
19 2.380634 1.581888 1.987849 
20 2.381200 1.582126 1.987949 
21 2.381608 1.582297 1.988021 
22 2.381901 1.582421 1.988073 
23 2.382113 1.582510 1.988111 
24 2.382266 1.582574 1.988137 
25 2.382376 1.582620 1.988157 
26 2.382455 1.582653 1.988171 
27 2.382512 1.582677 1.988181 
28 2.382554 1.582695 1.988188 
29 2.382583 1.582707 1.988193 
30 2.382605 1.582716 1.988197 
31 2.382620 1.582723 1.988200 
32 2.382631 1.582727 1.988202 
33 2.382639 1.582731 1.988203 
34 2.382645 1.582733 1.988204 
35 2.382649 1.582735 1.988205 
36 2.382652 1.582736 1.988206 
37 2.382654 1.582737 1.988206 
38 2.382656 1.582738 1.988206 
39 2.382657 1.582738 1.988206 
40 2.382658 1.582738 1.988207 
41 2.382658 1.582739 1.988207 
42 2.382659 1.582739 1.988207 
43 2.382659 1.582739 1.988207 
44 2.382659 1.582739 1.988207 
45 2.382660 1.582739 1.988207 
46 2.382660 1.582739 1.988207 
47 2.382660 1.582739 1.988207 
48 2.382660 1.582739 1.988207 
49 2.382660 1.582739 1.988207 
50 2.382660 1.582739 1.988207 
51 2.382660 1.582739 1.988207 
52 2.382660 1.582739 1.988207 
53 2.382660 1.582739 1.988207 
54 2.382660 1.582739 1.988207 
